2,3,3,0,2,-1,-1,-1,-1
3,3,-1,-1,-1,-1,-1,-1,-1
4,3,-1,-1,-1,-1,-1,-1,-1
5,3,3,1,-1,-1,-1,-1,-1
6,3,-1,-1,-1,-1,-1,-1,-1
7,3,3,-1,-1,-1,-1,-1,-1
8,3,-1,-1,-1,-1,-1,-1,-1
9,3,3,0,-1,-1,-1,-1,-1
11,3,3,-1,-1,-1,-1,-1,-1
12,3,3,-1,-1,-1,-1,-1,-1
13,3,3,3,-1,-1,-1,-1,-1
14,3,3,0,1,2,-1,-1,-1
15,3,3,3,0,3,-1,-1,-1
16,3,3,2,-1,-1,-1,-1,-1
17,3,3,1,0,2,-1,-1,-1
18,3,1,-1,-1,-1,-1,-1,-1
19,3,-1,-1,-1,-1,-1,-1,-1
20,3,-1,-1,-1,-1,-1,-1,-1
21,3,1,1,2,3,0,1,2
22,3,-1,-1,-1,-1,-1,-1,-1
23,3,-1,-1,-1,-1,-1,-1,-1
24,3,-1,-1,-1,-1,-1,-1,-1
25,3,-1,-1,-1,-1,-1,-1,-1
26,3,-1,-1,-1,-1,-1,-1,-1
27,3,-1,-1,-1,-1,-1,-1,-1
28,3,-1,-1,-1,-1,-1,-1,-1
29,3,-1,-1,-1,-1,-1,-1,-1
30,3,-1,-1,-1,-1,-1,-1,-1
31,3,-1,-1,-1,-1,-1,-1,-1
32,3,-1,-1,-1,-1,-1,-1,-1
33,3,-1,-1,-1,-1,-1,-1,-1
34,3,-1,-1,-1,-1,-1,-1,-1
35,3,-1,-1,-1,-1,-1,-1,-1
36,3,-1,-1,-1,-1,-1,-1,-1
37,3,-1,-1,-1,-1,-1,-1,-1
38,3,-1,-1,-1,-1,-1,-1,-1
39,3,-1,-1,-1,-1,-1,-1,-1
40,3,-1,-1,-1,-1,-1,-1,-1
41,3,-1,-1,-1,-1,-1,-1,-1
